Gene	Chr_Pos	UniProtID	Descriptor	EC
A3GALT2	1p35.1	U3KPV4	Alpha-1,3-galactosyltransferase 2 (Isoglobotriaosylceramide synthase) (iGb3 synthase) (iGb3S) [A3GALT2P] [IGBS3S]	EC 2.4.1.87
ABCA4	1p21-p22.1	P78363	Retinal-specific phospholipid-transporting ATPase ABCA4 (ATP-binding cassette sub-family A member 4) (RIM ABC transporter) (RIM proteinv) (RmP) (Retinal-specific ATP-binding cassette transporter) (Stargardt disease protein) [ABCR]	EC 7.6.2.1
ABL2	1q24-q25	P42684	kinase ABL2 (Abelson murine leukemia viral oncogene homolog 2) (Abelson tyrosine-protein kinase 2) (Abelson-related gene protein) (Tyrosine-protein kinase ARG) [ABLL] [ARG]	EC 2.7.10.2
ACADM	1p31	P11310	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial precursor (MCAD) (Medium chain acyl-CoA dehydrogenase) (MCADH)	EC 1.3.8.7
ACOT11	1p32.3	Q8WXI4	Acyl-coenzyme A thioesterase 11 precursor (Acyl-CoA thioesterase 11) (Acyl-CoA thioester hydrolase 11) (Adipose-associated thioesterase) (Brown fat-inducible thioesterase) (BFIT) (Palmitoyl-coenzyme A thioesterase) [BFIT] [KIAA0707] [THEA]	EC 3.1.2.2
ACOT7	1p36.2	O00154	acyl coenzyme A thioester hydrolase (Acyl-CoA thioesterase 7) (Brain acyl-CoA hydrolase) (BACH) (hBACH) (CTE-IIa) (CTE-II) (Long chain acyl-CoA thioester hydrolase) [BACH]	EC 3.1.2.2
ACP6	1q21	Q9NPH0	acid phosphatase type 6 precursor (Acid phosphatase 6, lysophosphatidic) (Acid phosphatase-like protein 1) (PACPL1) [ACPL1] [LPAP] [UNQ205/PRO231]	EC 3.1.3.2
ADAMTS4	1q21-q23	O75173	disintegrin and metalloproteinase with thrombospondin motifs 4 precursor (ADAM-TS 4) (ADAM-TS4) (ADAMTS-4) (ADMP-1) (Aggrecanase-1) [KIAA0688] [UNQ769/PRO1563]	EC 3.4.24.82
ADAR	1q21.1-q21.2	P55265	Double-stranded RNA-specific adenosine deaminase (DRADA) (136 kDa double-stranded RNA-binding protein) (p136) (Interferon-inducible protein 4) (IFI-4) (K88DSRBP) [ADAR1] [DSRAD] [G1P1] [IFI4]	EC 3.5.4.37
ADCY10	1q24	Q96PN6	Adenylate cyclase type 10 (AH-related protein) (Adenylate cyclase homolog) (Germ cell soluble adenylyl cyclase) (hsAC) (sAC) (Testicular soluble adenylyl cyclase) [SAC]	EC 4.6.1.1
ADPRS	1p34.3	Q9NX46	ADP-ribosylhydrolase ARH3 (ADP-ribose glycohydrolase ARH3) (ADP-ribosylhydrolase 3) (O-acetyl-ADP-ribose deacetylase ARH3) (Poly(ADP-ribose) glycohydrolase ARH3) ([Protein ADP-ribosylarginine] hydrolase-like protein 2) ([Protein ADP-ribosylserine] hydrolase) [ADPRHL2] [ARH3]	EC 3.2.1.143
ADSS2	1cen-q12	P30520	Adenylosuccinate synthetase isozyme 2 (AMPSase 2) (AdSS 2) (Adenylosuccinate synthetase, acidic isozyme) (Adenylosuccinate synthetase, liver isozyme) (L-type adenylosuccinate synthetase) (IMP--aspartate ligase 2) [ADSS]	EC 6.3.4.4
